0.400128,-1.09862e-05,0.699319
0.400128,-1.09862e-05,0.699319
0.400128,-1.09862e-05,0.699319
0.400128,-1.09862e-05,0.699319
0.400151,1.17814e-05,0.699297
0.400218,7.91663e-05,0.69923
0.400329,0.000189821,0.699119
0.400483,0.000344689,0.698964
0.400682,0.000542794,0.698767
0.400922,0.000783691,0.698526
0.401205,0.00106692,0.698244
0.40153,0.00139154,0.697919
0.401897,0.00175861,0.697554
0.402752,0.00261424,0.6967
0.402752,0.00261424,0.6967
0.40324,0.00310242,0.696213
0.403767,0.00363022,0.695686
0.404334,0.00419721,0.695121
0.40494,0.00480294,0.694516
0.405583,0.00544696,0.693874
0.406265,0.00612881,0.693193
0.406984,0.00684804,0.692476
0.40774,0.00760421,0.691721
0.408532,0.00839686,0.690931
0.40936,0.00922554,0.690104
0.410224,0.0100898,0.689242
0.411123,0.0109892,0.688344
0.412057,0.0119233,0.687412
0.413025,0.0128916,0.686446
0.414026,0.0138937,0.685446
0.415061,0.0149291,0.684413
0.416129,0.0159974,0.683348
0.417229,0.0170981,0.682249
0.418361,0.0182308,0.681119
0.419525,0.019395,0.679958
0.421945,0.0218163,0.677542
0.421945,0.0218163,0.677542
0.423201,0.0230724,0.676289
0.424486,0.0243583,0.675006
0.4258,0.0256734,0.673694
0.427144,0.0270173,0.672353
0.428515,0.0283897,0.670984
0.429915,0.0297899,0.669587
0.431342,0.0312176,0.668162
0.432796,0.0326724,0.666711
0.434277,0.0341537,0.665233
0.435784,0.0356612,0.663729
0.437316,0.0371943,0.6622
0.438874,0.0387526,0.660645
0.440456,0.0403357,0.659065
0.442063,0.0419432,0.657462
0.443693,0.0435745,0.655834
0.445347,0.0452292,0.654183
0.447024,0.0469069,0.652509
0.448724,0.0486071,0.650813
0.450445,0.0503294,0.649095
0.452188,0.0520734,0.647355
0.453952,0.0538384,0.645594
0.455737,0.0556242,0.643812
0.457543,0.0574303,0.64201
0.459368,0.0592562,0.640188
0.461212,0.0611014,0.638347
0.463075,0.0629656,0.636488
0.466857,0.0667489,0.632713
0.466857,0.0667489,0.632713
0.468774,0.0686671,0.630799
0.470709,0.0706025,0.628868
0.47266,0.0725545,0.626921
0.474627,0.0745227,0.624957
0.47661,0.0765067,0.622978
0.478608,0.078506,0.620983
0.480622,0.0805201,0.618974
0.482649,0.0825487,0.61695
0.484691,0.0845912,0.614912
0.486746,0.0866472,0.612861
0.488814,0.0887164,0.610796
0.490895,0.0907981,0.608719
0.492988,0.0928919,0.60663
0.495092,0.0949975,0.604529
0.497208,0.0971144,0.602418
0.499335,0.099242,0.600295
0.501472,0.10138,0.598162
0.503619,0.103528,0.596019
0.505775,0.105685,0.593866
0.50794,0.107852,0.591705
0.510114,0.110027,0.589535
0.512296,0.11221,0.587357
0.514486,0.1144,0.585171
0.516683,0.116598,0.582978
0.518887,0.118803,0.580779
0.521097,0.121014,0.578573
0.523312,0.123231,0.576361
0.525534,0.125453,0.574144
0.52776,0.12768,0.571922
0.52999,0.129912,0.569695
0.532225,0.132148,0.567465
0.534463,0.134387,0.565231
0.536705,0.13663,0.562993
0.538949,0.138875,0.560753
0.541195,0.141122,0.558511
0.543444,0.143372,0.556267
0.545693,0.145622,0.554021
0.547944,0.147874,0.551775
0.550195,0.150126,0.549528
0.552445,0.152378,0.547282
0.554696,0.154629,0.545035
0.556946,0.15688,0.54279
0.559194,0.159129,0.540546
0.56144,0.161376,0.538304
0.563684,0.163622,0.536063
0.568164,0.168103,0.531592
0.568164,0.168103,0.531592
0.570399,0.170339,0.529361
0.572629,0.172571,0.527135
0.574855,0.174798,0.524913
0.577077,0.17702,0.522696
0.579292,0.179237,0.520484
0.581502,0.181448,0.518278
0.583706,0.183653,0.516078
0.585903,0.185851,0.513886
0.588093,0.188041,0.5117
0.590275,0.190224,0.509522
0.592449,0.192399,0.507352
0.594614,0.194566,0.505191
0.59677,0.196723,0.503038
0.598917,0.198871,0.500895
0.601054,0.201009,0.498762
0.603181,0.203137,0.496639
0.605297,0.205253,0.494528
0.607401,0.207359,0.492427
0.609494,0.209453,0.490338
0.611575,0.211535,0.488261
0.613643,0.213604,0.486197
0.615698,0.21566,0.484145
0.61774,0.217702,0.482108
0.619767,0.219731,0.480084
0.62178,0.221745,0.478074
0.623779,0.223744,0.476079
0.625762,0.225728,0.4741
0.627729,0.227696,0.472136
0.62968,0.229648,0.470189
0.631614,0.231583,0.468258
0.633532,0.233502,0.466344
0.635431,0.235402,0.464448
0.637313,0.237285,0.46257
0.639176,0.239149,0.46071
0.641021,0.240994,0.458869
0.642846,0.24282,0.457047
0.644651,0.244626,0.455246
0.646436,0.246412,0.453464
0.6482,0.248177,0.451703
0.649943,0.249921,0.449963
0.651665,0.251643,0.448245
0.653364,0.253343,0.446548
0.655041,0.255021,0.444875
0.656695,0.256675,0.443224
0.658325,0.258307,0.441596
0.659932,0.259914,0.439993
0.661514,0.261497,0.438413
0.663072,0.263056,0.436858
0.664604,0.264589,0.435329
0.666111,0.266096,0.433825
0.667591,0.267577,0.432347
0.669045,0.269032,0.430896
0.670472,0.27046,0.429471
0.671872,0.27186,0.428074
0.673244,0.273232,0.426705
0.674587,0.274576,0.425365
0.675901,0.275891,0.424052
0.677187,0.277177,0.42277
0.678442,0.278433,0.421516
0.679667,0.279659,0.420293
0.680862,0.280854,0.419101
0.682026,0.282018,0.417939
0.683158,0.283151,0.416809
0.684258,0.284252,0.415711
0.685326,0.28532,0.414645
0.686361,0.286355,0.413612
0.687362,0.287357,0.412613
0.68833,0.288325,0.411647
